Province,TotalSessions,DistinctViewers,Race,MaleUsers,FemaleUsers,TotalUsers,Gender,SessionPercentage,AgeCohort,DayOfWeek,SessionDate_SA,HourOfDay,Channel,TotalDurationInSeconds,SessionStartTime_SA,Email,Social Media Handle
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),5,2016/02/18,12,Supersport Live Events,1.76E+09,22:00.0,Hyman 85@mailxyz.com,@Hyman 8
North West,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/16,21,Channel O,1.76E+09,00:00.0,Lane 113@mail.com,@Lane 11
Limpopo,1,1,black,0,1,1,female,0.01,Youth (18-24),2,2016/03/28,19,Trace TV,1.76E+09,44:00.0,Gretta 481@yahoo.com,@Gretta 48
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),1,2016/03/13,10,M-Net,1.76E+09,41:00.0,Hugh15@mailxyz.com,@Hugh1
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,7,Channel O,1.76E+09,15:00.0,Cory 104@abcmail.com,@Cory 10
Eastern Cape,1,1,white,1,0,1,male,0.01,Retired (55+),6,2016/01/15,22,SuperSport Blitz,1.76E+09,02:00.0,Haywood 92@gmail.com,@Haywood 9
None,1,1,None,0,0,1,None,0.01,Kids (0-17),1,2016/03/27,14,Boomerang,1.76E+09,35:00.0,Minerva 184@abcmail.com,None
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),1,2016/01/03,1,Trace TV,1.76E+09,35:00.0,Torrie 142@gmail.com,@Torrie 14
Limpopo,1,1,black,1,0,1,male,0.01,Youth (18-24),2,2016/03/28,18,Africa Magic,1.76E+09,19:00.0,Art 404@abcmail.com,@Art 40
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/01/08,20,DStv Events 1,1.76E+09,59:00.0,Michel 204@abcmail.com,@Michel 20
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Kids (0-17),6,2016/03/25,19,E! Entertainment,1.76E+09,30:00.0,Michel 201@yahoo.com,@Michel 20
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/02/19,10,ICC Cricket World Cup 2011,1.76E+09,43:00.0,Eli 291@yahoo.com,@Eli 29
Western Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/03/29,23,E! Entertainment,1.76E+09,26:00.0,Art 404@abcmail.com,@Art 40
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),6,2016/03/04,14,ICC Cricket World Cup 2011,1.76E+09,45:00.0,Kyle 63@mail.com,@Kyle 6
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),2,2016/02/08,21,Africa Magic,1.76E+09,14:00.0,Jacinto 252@gmail.com,@Jacinto 25
Limpopo,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/01/23,2,Trace TV,1.76E+09,50:00.0,Michel 202@gmail.com,@Michel 20
Kwazulu Natal,1,1,white,1,0,1,male,0.01,Adult (25-34),6,2016/03/25,15,ICC Cricket World Cup 2011,1.76E+09,18:00.0,Kip 142@gmail.com,@Kip 14
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/02/16,8,Trace TV,1.76E+09,14:00.0,Irving 55@mailxyz.com,@Irving 5
Gauteng,1,1,None,1,0,1,male,0.01,Youth (18-24),1,2016/03/06,3,Cartoon Network,1.76E+09,54:00.0,Filiberto 44@abcmail.com,@Filiberto 4
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),3,2016/03/29,15,ICC Cricket World Cup 2011,1.76E+09,20:00.0,Robby 163@mail.com,@Robby 16
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),2,2016/03/07,18,CNN,1.76E+09,17:00.0,Cory 101@yahoo.com,@Cory 10
Free State,1,1,black,1,0,1,male,0.01,Youth (18-24),1,2016/03/27,9,Trace TV,1.76E+09,28:00.0,Emerson 245@mailxyz.com,@Emerson 24
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/12,16,SawSee,1.76E+09,05:00.0,Lloyd 75@mailxyz.com,@Lloyd 7
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/03/24,12,Trace TV,1.76E+09,10:00.0,Cory 104@abcmail.com,@Cory 10
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),3,2016/03/29,3,CNN,1.76E+09,12:00.0,Charlie 365@mailxyz.com,@Charlie 36
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/03/12,11,ICC Cricket World Cup 2011,1.76E+09,29:00.0,Claud 342@gmail.com,@Claud 34
Gauteng,1,1,white,1,0,1,male,0.01,Retired (55+),3,2016/01/05,18,CNN,1.76E+09,50:00.0,Randy 393@mail.com,@Randy 39
Gauteng,1,1,None,1,0,1,male,0.01,Adult (25-34),3,2016/01/05,13,Supersport Live Events,1.76E+09,22:00.0,Lucas 232@gmail.com,@Lucas 23
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/01/15,12,SuperSport Blitz,1.76E+09,23:00.0,Efren 132@gmail.com,@Efren 13
Western Cape,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,19,Supersport Live Events,1.76E+09,00:00.0,Michel 201@yahoo.com,@Michel 20
Western Cape,1,1,coloured,0,1,1,female,0.01,Mature Adult (35-44),3,2016/02/23,13,ICC Cricket World Cup 2011,1.76E+09,18:00.0,Rebecka 172@gmail.com,@Rebecka 17
Eastern Cape,1,1,None,1,0,1,male,0.01,Adult (25-34),4,2016/03/09,11,SuperSport Blitz,1.76E+09,13:00.0,Filiberto 41@yahoo.com,@Filiberto 4
None,1,1,None,0,0,1,None,0.01,Kids (0-17),6,2016/01/15,17,CNN,1.76E+09,55:00.0,Loris 354@abcmail.com,None
Mpumalanga,1,1,white,1,0,1,male,0.01,Youth (18-24),7,2016/03/19,9,ICC Cricket World Cup 2011,1.76E+09,30:00.0,Brendan 453@mail.com,@Brendan 45
Eastern Cape,1,1,black,0,1,1,female,0.01,Middle-Aged Adult (45-54),1,2016/01/31,1,Africa Magic,1.76E+09,02:00.0,Gretta 272@gmail.com,@Gretta 27
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),4,2016/03/09,12,ICC Cricket World Cup 2011,1.76E+09,01:00.0,Wilton 411@yahoo.com,@Wilton 41
North West,1,1,white,1,0,1,male,0.01,Youth (18-24),7,2016/02/20,15,Africa Magic,1.76E+09,48:00.0,Cory 102@gmail.com,@Cory 10
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/25,2,Boomerang,1.76E+09,29:00.0,Wilburn 302@gmail.com,@Wilburn 30
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),1,2016/02/21,8,Trace TV,1.76E+09,56:00.0,Emerson 245@mailxyz.com,@Emerson 24
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/02/03,6,CNN,1.76E+09,59:00.0,Kip 144@abcmail.com,@Kip 14
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/13,8,CNN,1.76E+09,56:00.0,Lucas 233@mail.com,@Lucas 23
Limpopo,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/01/10,5,Trace TV,1.76E+09,19:00.0,Stephen 154@abcmail.com,@Stephen 15
Eastern Cape,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/01/02,3,Cartoon Network,1.76E+09,10:00.0,Stacy 273@mail.com,@Stacy 27
Eastern Cape,1,1,white,1,0,1,male,0.01,Retired (55+),3,2016/02/16,18,E! Entertainment,1.76E+09,29:00.0,Stephen 155@mailxyz.com,@Stephen 15
North West,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/02/27,15,Supersport Live Events,1.76E+09,10:00.0,Robby 164@abcmail.com,@Robby 16
Gauteng,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/23,15,SuperSport Blitz,1.76E+09,59:00.0,Randy 393@mail.com,@Randy 39
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/19,14,Channel O,1.76E+09,38:00.0,Jared 501@yahoo.com,@Jared 50
Western Cape,1,1,indian_asian,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/24,18,ICC Cricket World Cup 2011,1.76E+09,04:00.0,Brendan 452@gmail.com,@Brendan 45
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),5,2016/03/24,11,Supersport Live Events,1.76E+09,09:00.0,Eli 291@yahoo.com,@Eli 29
Kwazulu Natal,1,1,coloured,0,1,1,female,0.01,Adult (25-34),2,2016/03/28,8,Boomerang,1.76E+09,07:00.0,Mellie 395@mailxyz.com,@Mellie 39
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/01/19,17,Africa Magic,1.76E+09,29:00.0,Eli 294@abcmail.com,@Eli 29
Western Cape,1,1,None,1,0,1,male,0.01,Adult (25-34),6,2016/03/11,17,ICC Cricket World Cup 2011,1.76E+09,40:00.0,Irving 52@gmail.com,@Irving 5
Limpopo,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/18,22,SuperSport Blitz,1.76E+09,50:00.0,Michel 204@abcmail.com,@Michel 20
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,16,Supersport Live Events,1.76E+09,21:00.0,Samuel 265@mailxyz.com,@Samuel 26
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/02/09,6,Trace TV,1.76E+09,49:00.0,Stacy 271@yahoo.com,@Stacy 27
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/04,7,SawSee,1.76E+09,49:00.0,Dee 215@mailxyz.com,@Dee 21
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/01/06,11,Supersport Live Events,1.76E+09,26:00.0,Loyd 492@gmail.com,@Loyd 49
Eastern Cape,1,1,white,0,1,1,female,0.01,Adult (25-34),6,2016/03/04,10,Supersport Live Events,1.76E+09,10:00.0,Alecia 235@mailxyz.com,@Alecia 23
North West,1,1,black,1,0,1,male,0.01,Youth (18-24),6,2016/02/19,15,Supersport Live Events,1.76E+09,29:00.0,Jared 505@mailxyz.com,@Jared 50
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/19,23,Cartoon Network,1.76E+09,51:00.0,Jared 502@gmail.com,@Jared 50
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/01/26,12,Trace TV,1.76E+09,17:00.0,Yong 485@mailxyz.com,@Yong 48
Mpumalanga,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/01,22,Africa Magic,1.76E+09,12:00.0,Donald 225@mailxyz.com,@Donald 22
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/02/27,11,Africa Magic,1.76E+09,44:00.0,Hyman 83@mail.com,@Hyman 8
Eastern Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),2,2016/01/11,11,CNN,1.76E+09,07:00.0,Samuel 263@mail.com,@Samuel 26
Western Cape,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/22,23,Cartoon Network,1.76E+09,20:00.0,Hugh14@abcmail.com,@Hugh1
Gauteng,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/10,14,SuperSport Blitz,1.76E+09,02:00.0,Wilton 412@gmail.com,@Wilton 41
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,11,Supersport Live Events,1.76E+09,13:00.0,Robby 163@mail.com,@Robby 16
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/25,8,Supersport Live Events,1.76E+09,59:00.0,Len 444@abcmail.com,@Len 44
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/14,17,Boomerang,1.76E+09,12:00.0,Markus 195@mailxyz.com,@Markus 19
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/02/24,15,ICC Cricket World Cup 2011,1.76E+09,17:00.0,Chas 354@abcmail.com,@Chas 35
Western Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/02/24,13,ICC Cricket World Cup 2011,1.76E+09,33:00.0,Garry 285@mailxyz.com,@Garry 28
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/01/05,14,Cartoon Network,1.76E+09,04:00.0,Valentine 471@yahoo.com,@Valentine 47
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/15,17,ICC Cricket World Cup 2011,1.76E+09,13:00.0,Markus 195@mailxyz.com,@Markus 19
Western Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/07,14,SawSee,1.76E+09,55:00.0,Hyman 81@yahoo.com,@Hyman 8
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,17,Channel O,1.76E+09,58:00.0,Hugh11@yahoo.com,@Hugh1
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/03/14,13,Channel O,1.76E+09,51:00.0,Shane 24@abcmail.com,@Shane 2
None,1,1,None,0,0,1,None,0.01,Kids (0-17),1,2016/03/06,12,Cartoon Network,1.76E+09,17:00.0,Zetta 73@mail.com,None
Kwazulu Natal,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/01/02,21,Boomerang,1.76E+09,41:00.0,Stephen 151@yahoo.com,@Stephen 15
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/01/28,10,Africa Magic,1.76E+09,26:00.0,Wilton 411@yahoo.com,@Wilton 41
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/02/02,2,SuperSport Blitz,1.76E+09,33:00.0,Dion 332@gmail.com,@Dion 33
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),5,2016/03/31,0,CNN,1.76E+09,58:00.0,Cory 104@abcmail.com,@Cory 10
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/01/09,7,Supersport Live Events,1.76E+09,36:00.0,Efren 134@abcmail.com,@Efren 13
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/02/19,9,Supersport Live Events,1.76E+09,58:00.0,Cory 101@yahoo.com,@Cory 10
Kwazulu Natal,1,1,coloured,1,0,1,male,0.01,Adult (25-34),6,2016/03/11,1,Channel O,1.76E+09,58:00.0,Markus 192@gmail.com,@Markus 19
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/01/29,6,CNN,1.76E+09,12:00.0,Randy 391@yahoo.com,@Randy 39
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/02/02,22,Africa Magic,1.76E+09,14:00.0,Samuel 261@yahoo.com,@Samuel 26
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),7,2016/01/23,21,Africa Magic,1.76E+09,05:00.0,Torrie 72@gmail.com,@Torrie 7
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),7,2016/02/20,20,SuperSport Blitz,1.76E+09,15:00.0,Garry 284@abcmail.com,@Garry 28
Limpopo,1,1,None,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/03/25,15,ICC Cricket World Cup 2011,1.76E+09,20:00.0,Samuel 265@mailxyz.com,@Samuel 26
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),1,2016/02/21,13,SuperSport Blitz,1.76E+09,12:00.0,Kip 144@abcmail.com,@Kip 14
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/03/03,19,Africa Magic,1.76E+09,27:00.0,Raymundo 432@gmail.com,@Raymundo 43
Western Cape,1,1, ,1,0,1,male,0.01,Adult (25-34),4,2016/03/09,20,Trace TV,1.76E+09,04:00.0,Robby 163@mail.com,@Robby 16
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/23,13,Cartoon Network,1.76E+09,09:00.0,Garry 282@gmail.com,@Garry 28
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/02/07,21,Trace TV,1.76E+09,02:00.0,Markus 192@gmail.com,@Markus 19
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/03/19,16,SawSee,1.76E+09,11:00.0,Emerson 241@yahoo.com,@Emerson 24
Western Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),1,2016/03/06,19,Vuzu,1.76E+09,35:00.0,Cody 122@gmail.com,@Cody 12
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/02/06,14,CNN,1.76E+09,22:00.0,Kip 145@mailxyz.com,@Kip 14
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/01/25,21,Supersport Live Events,1.76E+09,20:00.0,Claud 344@abcmail.com,@Claud 34
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),2,2016/02/15,17,Trace TV,1.76E+09,54:00.0,Cody 122@gmail.com,@Cody 12
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),1,2016/03/13,18,Trace TV,1.76E+09,32:00.0,Loyd 493@mail.com,@Loyd 49
Gauteng,1,1,white,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/03/19,19,Supersport Live Events,1.76E+09,46:00.0,Filiberto 42@gmail.com,@Filiberto 4
Gauteng,1,1,black,1,0,1,male,0.01,Kids (0-17),3,2016/01/26,19,Cartoon Network,1.76E+09,17:00.0,Jacinto 251@yahoo.com,@Jacinto 25
North West,1,1,white,1,0,1,male,0.01,Adult (25-34),2,2016/02/22,12,ICC Cricket World Cup 2011,1.76E+09,32:00.0,Lucas 235@mailxyz.com,@Lucas 23
North West,1,1,black,1,0,1,male,0.01,Youth (18-24),2,2016/02/22,9,Channel O,1.76E+09,31:00.0,Brendan 455@mailxyz.com,@Brendan 45
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,19,Cartoon Network,1.76E+09,24:00.0,Len 444@abcmail.com,@Len 44
Gauteng,1,1,None,1,0,1,male,0.01,Youth (18-24),5,2016/02/04,12,Trace TV,1.76E+09,28:00.0,Len 444@abcmail.com,@Len 44
Gauteng,1,1,white,0,1,1,female,0.01,Youth (18-24),7,2016/02/20,8,CNN,1.76E+09,45:00.0,Luann 184@abcmail.com,@Luann 18
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/01/06,15,SawSee,1.76E+09,18:00.0,Charlie 365@mailxyz.com,@Charlie 36
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/23,15,Africa Magic,1.76E+09,42:00.0,Hyman 82@gmail.com,@Hyman 8
None,1,1,None,0,0,1,None,0.01,Kids (0-17),2,2016/03/14,8,Supersport Live Events,1.76E+09,19:00.0,Nakita 493@mail.com,None
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/01/16,11,SawSee,1.76E+09,55:00.0,Donald 225@mailxyz.com,@Donald 22
Gauteng,1,1,white,1,0,1,male,0.01,Youth (18-24),6,2016/03/04,7,Supersport Live Events,1.76E+09,59:00.0,Loyd 495@mailxyz.com,@Loyd 49
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/26,13,ICC Cricket World Cup 2011,1.76E+09,53:00.0,Wilburn 305@mailxyz.com,@Wilburn 30
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/12,23,Cartoon Network,1.76E+09,59:00.0,Randy 395@mailxyz.com,@Randy 39
Western Cape,1,1,black,1,0,1,male,0.01,Kids (0-17),2,2016/03/21,22,Channel O,1.76E+09,38:00.0,Markus 193@mail.com,@Markus 19
Western Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),2,2016/03/28,11,ICC Cricket World Cup 2011,1.76E+09,58:00.0,Markus 195@mailxyz.com,@Markus 19
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/18,9,Supersport Live Events,1.76E+09,31:00.0,Claud 341@yahoo.com,@Claud 34
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,17,Supersport Live Events,1.76E+09,50:00.0,Chas 352@gmail.com,@Chas 35
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),4,2016/03/30,13,CNN,1.76E+09,28:00.0,Yolonda 355@mailxyz.com,@Yolonda 35
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),4,2016/02/03,20,Africa Magic,1.76E+09,24:00.0,Hugh15@mailxyz.com,@Hugh1
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/05,10,Boomerang,1.76E+09,36:00.0,Dee 211@yahoo.com,@Dee 21
Eastern Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/02/25,5,Channel O,1.76E+09,15:00.0,Lucas 231@yahoo.com,@Lucas 23
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/02/17,15,SuperSport Blitz,1.76E+09,04:00.0,Emerson 243@mail.com,@Emerson 24
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),5,2016/03/24,10,Supersport Live Events,1.76E+09,59:00.0,Cody 123@mail.com,@Cody 12
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),7,2016/01/09,16,Supersport Live Events,1.76E+09,26:00.0,Jacinto 251@yahoo.com,@Jacinto 25
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/01/04,16,Channel O,1.76E+09,32:00.0,Chas 351@yahoo.com,@Chas 35
None,1,1,None,0,0,1,None,0.01,Kids (0-17),3,2016/03/29,13,ICC Cricket World Cup 2011,1.76E+09,36:00.0,Luanna 175@mailxyz.com,None
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),3,2016/03/29,13,ICC Cricket World Cup 2011,1.76E+09,17:00.0,Raymundo 433@mail.com,@Raymundo 43
Mpumalanga,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),2,2016/03/28,15,kykNET,1.76E+09,14:00.0,Markus 192@gmail.com,@Markus 19
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),2,2016/01/25,12,Trace TV,1.76E+09,46:00.0,Hugh15@mailxyz.com,@Hugh1
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/01/20,19,Cartoon Network,1.76E+09,39:00.0,Hyman 85@mailxyz.com,@Hyman 8
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),6,2016/02/19,9,ICC Cricket World Cup 2011,1.76E+09,46:00.0,Bret 314@abcmail.com,@Bret 31
Eastern Cape,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),4,2016/02/24,13,ICC Cricket World Cup 2011,1.76E+09,04:00.0,Cody 123@mail.com,@Cody 12
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,23,Boomerang,1.76E+09,03:00.0,Earl 423@mail.com,@Earl 42
Eastern Cape,1,1,None,1,0,1,male,0.01,Youth (18-24),1,2016/02/28,19,Trace TV,1.76E+09,41:00.0,Robby 163@mail.com,@Robby 16
Limpopo,1,1,black,1,0,1,male,0.01,Youth (18-24),6,2016/02/19,17,Supersport Live Events,1.76E+09,42:00.0,Jared 503@mail.com,@Jared 50
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/01/15,19,Supersport Live Events,1.76E+09,57:00.0,Wilburn 302@gmail.com,@Wilburn 30
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/01/14,10,Supersport Live Events,1.76E+09,30:00.0,Michel 202@gmail.com,@Michel 20
Limpopo,1,1,coloured,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,6,ICC Cricket World Cup 2011,1.76E+09,52:00.0,Claud 342@gmail.com,@Claud 34
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),6,2016/03/11,11,ICC Cricket World Cup 2011,1.76E+09,24:00.0,Kyle 64@abcmail.com,@Kyle 6
Gauteng,1,1,None,1,0,1,male,0.01,Retired (55+),7,2016/03/05,23,Supersport Live Events,1.76E+09,04:00.0,Robby 162@gmail.com,@Robby 16
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/03/05,17,E! Entertainment,1.76E+09,58:00.0,Raymundo 432@gmail.com,@Raymundo 43
Gauteng,1,1,black,1,0,1,male,0.01,Kids (0-17),6,2016/02/05,7,CNN,1.76E+09,40:00.0,Brendan 451@yahoo.com,@Brendan 45
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),6,2016/03/04,8,Supersport Live Events,1.76E+09,51:00.0,Jacinto 253@mail.com,@Jacinto 25
Northern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/01/16,16,Africa Magic,1.76E+09,12:00.0,Dee 214@abcmail.com,@Dee 21
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),6,2016/01/15,10,Africa Magic,1.76E+09,12:00.0,Michel 202@gmail.com,@Michel 20
Western Cape,1,1,black,1,0,1,male,0.01,Youth (18-24),6,2016/03/18,23,Boomerang,1.76E+09,24:00.0,Jared 503@mail.com,@Jared 50
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/01/12,18,Supersport Live Events,1.76E+09,49:00.0,Raymundo 433@mail.com,@Raymundo 43
Limpopo,1,1,white,1,0,1,male,0.01,Youth (18-24),4,2016/03/23,21,Trace TV,1.76E+09,06:00.0,Romeo 371@yahoo.com,@Romeo 37
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),2,2016/01/11,13,Trace TV,1.76E+09,32:00.0,Hyman 85@mailxyz.com,@Hyman 8
Gauteng,1,1,indian_asian,0,1,1,female,0.01,Youth (18-24),5,2016/02/18,13,Cartoon Network,1.76E+09,22:00.0,Winona 71@yahoo.com,@Winona 7
Free State,1,1,white,1,0,1,male,0.01,Youth (18-24),3,2016/03/01,11,M-Net,1.76E+09,22:00.0,Len 444@abcmail.com,@Len 44
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/02/17,20,SawSee,1.76E+09,23:00.0,Yong 483@mail.com,@Yong 48
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/19,18,Cartoon Network,1.76E+09,33:00.0,Stephen 152@gmail.com,@Stephen 15
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/18,23,ICC Cricket World Cup 2011,1.76E+09,52:00.0,Wilburn 305@mailxyz.com,@Wilburn 30
Western Cape,1,1,black,0,1,1,female,0.01,Mature Adult (35-44),6,2016/02/19,16,Africa Magic,1.76E+09,54:00.0,Shelley 52@gmail.com,@Shelley 5
Western Cape,1,1,coloured,0,1,1,female,0.01,Middle-Aged Adult (45-54),7,2016/03/19,20,Supersport Live Events,1.76E+09,21:00.0,Luann 464@abcmail.com,@Luann 46
Western Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/02/17,18,Boomerang,1.76E+09,06:00.0,Donald 221@yahoo.com,@Donald 22
